종목코드,종목명,운용사,수익률,총 보수
458030,WON 단기국공채액티브,우리자산운용,0.21,0.065
455890,RISE 머니마켓액티브,케이비자산운용,0.21,0.05
190620,ACE 단기통안채,한국투자신탁운용,0.21,0.07
462540,SOL 25-09 회사채(AA-이상)액티브,신한자산운용,0.21,0.05
475630,TIGER CD1년금리액티브(합성),미래에셋자산운용,0.21,0.009
479080,1Q 머니마켓액티브,하나자산운용,0.21,0.05
0061Z0,RISE 단기특수은행채액티브,케이비자산운용,0.21,0.01
464240,KIWOOM 26-09회사채(AA-이상)액티브,키움투자자산운용,0.21,0.07
494900,TIGER 25-12 금융채(AA-이상),미래에셋자산운용,0.2,0.1
491080,KODEX 25-12 은행채(AAA)액티브,삼성자산운용,0.2,0.05
499660,TIGER CD금리플러스액티브(합성),미래에셋자산운용,0.2,0.009
481050,KODEX CD1년금리플러스액티브(합성),삼성자산운용,0.2,0.05
153130,KODEX 단기채권,삼성자산운용,0.2,0.15
451540,TIGER 종합채권(AA-이상)액티브,미래에셋자산운용,0.2,0.03
449170,TIGER KOFR금리액티브(합성),미래에셋자산운용,0.2,0.03
464470,PLUS 미국채30년액티브,한화자산운용,0.2,0.15
214980,KODEX 단기채권PLUS,삼성자산운용,0.2,0.15
463290,1Q 단기금융채액티브,하나자산운용,0.2,0.08
423160,KODEX KOFR금리액티브(합성),삼성자산운용,0.2,0.05
272560,RISE 단기국공채액티브,케이비자산운용,0.2,0.07
432600,RISE 국채선물3년,케이비자산운용,0.2,0.07
479520,RISE KOFR금리액티브(합성),케이비자산운용,0.2,0.02
272570,RISE 중장기국공채액티브,케이비자산운용,0.2,0.07
459580,KODEX CD금리액티브(합성),삼성자산운용,0.2,0.02
357870,TIGER CD금리투자KIS(합성),미래에셋자산운용,0.2,0.03
453010,PLUS KOFR금리,한화자산운용,0.19,0.05
453060,HANARO KOFR금리액티브(합성),엔에이치아문디자산운용,0.19,0.05
130730,KIWOOM 단기자금,키움투자자산운용,0.19,0.05
484890,SOL 머니마켓액티브,신한자산운용,0.19,0.05
486830,HANARO 머니마켓액티브,엔에이치아문디자산운용,0.19,0.04
466400,1Q 25-08 회사채(A+이상)액티브,하나자산운용,0.19,0.1
477080,RISE CD금리액티브(합성),케이비자산운용,0.19,0.02
476450,KIWOOM 머니마켓액티브,키움투자자산운용,0.19,0.05
448600,RISE 25-11 회사채(AA-이상)액티브,케이비자산운용,0.19,0.07
491610,1Q CD금리액티브(합성),하나자산운용,0.19,0.02
475280,ACE 8월만기자동연장회사채AA-이상액티브,한국투자신탁운용,0.19,0.05
114470,KIWOOM 국고채3년,키움투자자산운용,0.19,0.05
473440,ACE 11월만기자동연장회사채AA-이상액티브,한국투자신탁운용,0.19,0.05
489870,KIWOOM 25-09 회사채(AA-이상)액티브,키움투자자산운용,0.18,0.05
363510,SOL KIS단기통안채,신한자산운용,0.18,0.07
0052T0,1Q 중단기회사채(A-이상)액티브,하나자산운용,0.18,0.05
273140,KODEX 단기변동금리부채권액티브,삼성자산운용,0.18,0.15
114460,ACE 국고채3년,한국투자신탁운용,0.18,0.15
458210,KIWOOM CD금리액티브(합성),키움투자자산운용,0.18,0.03
157450,TIGER 단기통안채,미래에셋자산운용,0.17,0.07
272580,TIGER 단기채권액티브,미래에셋자산운용,0.17,0.06
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),케이비자산운용,0.17,0.25
196230,RISE 단기통안채,케이비자산운용,0.17,0.13
114100,RISE 국고채3년,케이비자산운용,0.17,0.115
495710,BNK 26-06 특수채(AAA이상)액티브,비엔케이자산운용,0.17,0.1
495060,TIMEFOLIO 코리아밸류업액티브,타임폴리오자산운용,0.16,0.8
292770,KODEX 국채선물3년인버스,삼성자산운용,0.16,0.07
114260,KODEX 국고채3년,삼성자산운용,0.15,0.15
436140,SOL 종합채권(AA-이상)액티브,신한자산운용,0.15,0.04
488720,WON 종합채권(AA-이상)액티브,우리자산운용,0.14,0.045
475270,ACE 5월만기자동연장회사채AA-이상액티브,한국투자신탁운용,0.14,0.05
272910,ACE 중장기국공채액티브,한국투자신탁운용,0.14,0.08
467940,KODEX 25-11 회사채(A+이상)액티브,삼성자산운용,0.14,0.09
457690,KODEX 33-06 국고채액티브,삼성자산운용,0.13,0.15
472920,HK 종합채권(AA-이상)액티브,흥국자산운용,0.13,0.036
430500,KIWOOM 물가채KIS,키움투자자산운용,0.12,0.15
114820,TIGER 국채3년,미래에셋자산운용,0.12,0.15
341850,TIGER 리츠부동산인프라채권,미래에셋자산운용,0.11,0.22
385540,RISE 종합채권(A-이상)액티브,케이비자산운용,0.1,0.012
438560,SOL 국고채3년,신한자산운용,0.09,0.05
451000,PLUS 종합채권(AA-이상)액티브,한화자산운용,0.09,0.045
0017Y0,1Q 종합채권(AA-이상)액티브,하나자산운용,0.09,0.025
273130,KODEX 종합채권(AA-이상)액티브,삼성자산운용,0.08,0.045
356540,ACE 종합채권(AA-이상)KIS액티브,한국투자신탁운용,0.08,0.02
498180,파워 종합채권(AA-이상)액티브,교보악사자산운용,0.08,0.036
261920,ACE 필리핀MSCI(합성),한국투자신탁운용,0.07,0.5
483020,KIWOOM 의료AI,키움투자자산운용,0.05,0.49
363570,KODEX 장기종합채권(AA-이상)액티브,삼성자산운용,0.04,0.045
454780,KIWOOM 종합채권(AA-이상)액티브,키움투자자산운용,0.04,0.025
461500,HANARO 종합채권(AA-이상)액티브,엔에이치아문디자산운용,0.03,0.02
302190,TIGER 중장기국채,미래에셋자산운용,0.01,0.13
426150,WON 대한민국국고채액티브,우리자산운용,0.01,0.07
451600,PLUS 국고채30년액티브,한화자산운용,0.0,0.05
476760,ACE 미국30년국채액티브,한국투자신탁운용,0.0,0.05
237370,KODEX 배당성장채권혼합,삼성자산운용,0.0,0.19
265690,ACE 러시아MSCI(합성),한국투자신탁운용,0.0,0.0
447770,TIGER 테슬라채권혼합Fn,미래에셋자산운용,0.0,0.25
458260,TIGER 미국투자등급회사채액티브(H),미래에셋자산운용,-0.02,0.14
481430,RISE 국고채10년액티브,케이비자산운용,-0.06,0.012
457700,KODEX 53-09 국고채액티브,삼성자산운용,-0.08,0.15
290080,RISE 200고배당커버드콜ATM,케이비자산운용,-0.11,0.4
289670,PLUS 국채선물10년,한화자산운용,-0.12,0.05
148070,KIWOOM 국고채10년,키움투자자산운용,-0.15,0.05
471230,KODEX 국고채10년액티브,삼성자산운용,-0.16,0.015
448490,HANARO 32-10 국고채액티브,엔에이치아문디자산운용,-0.16,0.05
438570,SOL 국고채10년,신한자산운용,-0.18,0.05
138920,KODEX 콩선물(H),삼성자산운용,-0.18,0.68
365780,ACE 국고채10년,한국투자신탁운용,-0.19,0.02
295000,RISE 국채선물10년,케이비자산운용,-0.19,0.07
363580,KODEX 200IT TR,삼성자산운용,-0.2,0.15
439870,KODEX 국고채30년액티브,삼성자산운용,-0.2,0.05
446690,KODEX 아시아AI반도체exChina액티브,삼성자산운용,-0.22,0.5
429740,PLUS K리츠,한화자산운용,-0.22,0.25
152380,KODEX 국채선물10년,삼성자산운용,-0.23,0.07
471460,KIWOOM 국고채30년액티브,키움투자자산운용,-0.23,0.035
437080,KODEX 미국종합채권ESG액티브(H),삼성자산운용,-0.24,0.18
0010E0,ACE FTSE WGBI Korea,한국투자신탁운용,-0.25,0.15
461460,PLUS 국고채10년액티브,한화자산운용,-0.27,0.045
474390,SOL 국고채30년액티브,신한자산운용,-0.29,0.05
346000,HANARO KAP초장기국고채,엔에이치아문디자산운용,-0.3,0.2
441800,TIMEFOLIO Korea플러스배당액티브,타임폴리오자산운용,-0.31,0.8
292560,TIGER 일본엔선물,미래에셋자산운용,-0.39,0.21
433500,ACE 원자력테마딥서치,한국투자신탁운용,-0.4,0.3
451670,RISE 국채30년레버리지(합성),케이비자산운용,-0.4,0.1
451530,TIGER 국고채30년스트립액티브,미래에셋자산운용,-0.41,0.15
385560,RISE KIS국고채30년Enhanced,케이비자산운용,-0.44,0.05
469160,ACE 일본반도체,한국투자신탁운용,-0.45,0.45
407300,HANARO Fn골프테마,엔에이치아문디자산운용,-0.47,0.45
226380,ACE Fn성장소비주도주,한국투자신탁운용,-0.49,0.5
167860,KIWOOM 국고채10년레버리지,키움투자자산운용,-0.57,0.3
481340,RISE 미국30년국채액티브,케이비자산운용,-0.59,0.05
0005G0,ITF K-AI반도체코어테크,아이비케이자산운용,-0.66,0.28
139260,TIGER 200 IT,미래에셋자산운용,-0.7,0.4
