종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
276650,RISE 글로벌테크놀로지(합성 H),케이비자산운용,23766.0,87.0,2600,0.0
491090,KODEX 미국테크TOP3플러스,삼성자산운용,23707.0,211.0,16390,0.04
457690,KODEX 33-06 국고채액티브,삼성자산운용,23682.0,256.0,22902,0.03
250730,RISE 차이나HSCEI(H),케이비자산운용,23655.0,435.0,41407,0.03
375770,KODEX 탄소효율그린뉴딜,삼성자산운용,23565.0,44.0,4322,0.0
440910,WON 미국우주항공방산,우리자산운용,23500.0,527.0,26915,0.1
248270,TIGER S&P글로벌헬스케어(합성),미래에셋자산운용,23470.0,88.0,4087,0.0
450910,SOL 코스닥150,신한자산운용,23458.0,30.0,2398,0.0
437350,RISE 미국단기투자등급회사채액티브,케이비자산운용,23406.0,198.0,16703,0.02
300950,KODEX 게임산업,삼성자산운용,23114.0,701.0,94801,0.11
261120,TIGER 미국달러선물인버스2X,미래에셋자산운용,23078.0,72.0,12659,0.0
463680,KODEX 미국S&P500테크놀로지,삼성자산운용,23048.0,158.0,10427,0.0
243880,TIGER 200IT레버리지,미래에셋자산운용,22984.0,429.0,12909,0.0
394350,KIWOOM 글로벌퓨처모빌리티,키움투자자산운용,22981.0,98.0,8053,0.0
0017Y0,1Q 종합채권(AA-이상)액티브,하나자산운용,22809.0,298.0,2948,0.01
419430,KODEX 차이나2차전지MSCI(합성),삼성자산운용,22752.0,86.0,12646,0.04
252400,RISE 200선물레버리지,케이비자산운용,22714.0,1840.0,86199,2.3
387270,TIGER 글로벌이노베이션액티브,미래에셋자산운용,22593.0,79.0,4617,0.0
0005D0,SOL 전고체배터리&실리콘음극재,신한자산운용,22522.0,2002.0,201202,0.22
0040S0,HANARO 글로벌피지컬AI액티브,엔에이치아문디자산운용,22511.0,2169.0,176605,0.36
0022T0,SOL 골드커버드콜액티브,신한자산운용,22493.0,2921.0,275782,0.36
410870,TIMEFOLIO K컬처액티브,타임폴리오자산운용,22490.0,2002.0,154617,0.07
292190,KODEX KRX300,삼성자산운용,22386.0,305.0,15587,0.03
261070,TIGER 코스닥150바이오테크,미래에셋자산운용,22109.0,1103.0,73009,0.17
457700,KODEX 53-09 국고채액티브,삼성자산운용,22033.0,139.0,11312,0.1
352540,KODEX 일본부동산리츠(H),삼성자산운용,21986.0,292.0,25389,0.06
0041E0,KODEX 미국S&P500액티브,삼성자산운용,21974.0,190.0,16384,0.03
385590,ACE ESG액티브,한국투자신탁운용,21718.0,31.0,3273,0.0
276990,KODEX 글로벌로봇(합성),삼성자산운용,21684.0,178.0,9459,0.0
0067Y0,TIGER 차이나AI소프트웨어,미래에셋자산운용,21517.0,2493.0,247614,9.6
497780,KoAct 미국천연가스인프라액티브,삼성액티브자산운용,21411.0,396.0,44260,0.06
169950,KODEX 차이나A50,삼성자산운용,21387.0,77.0,3558,0.0
292770,KODEX 국채선물3년인버스,삼성자산운용,21341.0,0.0,0,0.0
483340,ACE 구글밸류체인액티브,한국투자신탁운용,21262.0,1012.0,91975,0.27
139250,TIGER 200 에너지화학,미래에셋자산운용,21186.0,981.0,83642,7.83
0028X0,KODEX 미국금융테크액티브,삼성자산운용,21091.0,1496.0,135981,0.01
483330,ACE 마이크로소프트밸류체인액티브,한국투자신탁운용,21021.0,775.0,61919,0.44
196030,ACE 일본TOPIX레버리지(H),한국투자신탁운용,20836.0,18.0,405,0.0
495060,TIMEFOLIO 코리아밸류업액티브,타임폴리오자산운용,20443.0,1332.0,108859,0.05
0052S0,1Q 미국S&P500미국채혼합50액티브,하나자산운용,20431.0,2857.0,279303,0.0
491700,HK 200,흥국자산운용,20410.0,13.0,301,0.0
0000H0,KODEX 인도Nifty미드캡100,삼성자산운용,20355.0,152.0,13898,0.04
483240,TIGER 미국나스닥100ETF선물,미래에셋자산운용,20109.0,16.0,1534,0.0
468630,KODEX iShares미국투자등급회사채액티브,삼성자산운용,20084.0,159.0,14427,0.07
238720,ACE 일본Nikkei225(H),한국투자신탁운용,19993.0,388.0,13660,0.03
427120,RISE 플랫폼테마,케이비자산운용,19959.0,1876.0,204533,0.34
